instance ./inteam 
/home/julius/coding/cpp/HidokuSatSolver/competitionEnvironment/hidokus/hidoku-5-5-8.txt 1.07 
/home/julius/coding/cpp/HidokuSatSolver/competitionEnvironment/hidokus/hidoku-5-6-4.txt 1.41 
/home/julius/coding/cpp/HidokuSatSolver/competitionEnvironment/hidokus/unsat/unsat-hidoku-5-8.txt 0.91 
/home/julius/coding/cpp/HidokuSatSolver/competitionEnvironment/hidokus/unsat/unsat-hidoku-5-5.txt 0.99 
/home/julius/coding/cpp/HidokuSatSolver/competitionEnvironment/hidokus/unsat/unsat-hidoku-5-2.txt 0.98 
/home/julius/coding/cpp/HidokuSatSolver/competitionEnvironment/hidokus/unsat/unsat-hidoku-5-7.txt 1.93 
/home/julius/coding/cpp/HidokuSatSolver/competitionEnvironment/hidokus/unsat/unsat-hidoku-5-10.txt 0.99 
/home/julius/coding/cpp/HidokuSatSolver/competitionEnvironment/hidokus/unsat/unsat-hidoku-5-1.txt 1.48 
/home/julius/coding/cpp/HidokuSatSolver/competitionEnvironment/hidokus/unsat/unsat-hidoku-5-6.txt 0.98 
/home/julius/coding/cpp/HidokuSatSolver/competitionEnvironment/hidokus/unsat/unsat-hidoku-5-3.txt 0.93 
/home/julius/coding/cpp/HidokuSatSolver/competitionEnvironment/hidokus/unsat/unsat-hidoku-5-9.txt 2.34 
/home/julius/coding/cpp/HidokuSatSolver/competitionEnvironment/hidokus/unsat/unsat-hidoku-5-4.txt 0.91 
/home/julius/coding/cpp/HidokuSatSolver/competitionEnvironment/hidokus/hidoku-5-5-2.txt 0.74 
