instance ./inteam 
/home/julius/.dropbox_duke/Dropbox/programming/cpp/HidokuSatSolver/competitionenvironment/hidokus/hidoku-8-2s-4.txt 0.2 
/home/julius/.dropbox_duke/Dropbox/programming/cpp/HidokuSatSolver/competitionenvironment/hidokus/hidoku-3-6-7.txt 0.0 
/home/julius/.dropbox_duke/Dropbox/programming/cpp/HidokuSatSolver/competitionenvironment/hidokus/hidoku-9-3s-6.txt 0.45 
/home/julius/.dropbox_duke/Dropbox/programming/cpp/HidokuSatSolver/competitionenvironment/hidokus/hidoku-9-3s-10.txt 0.61 
/home/julius/.dropbox_duke/Dropbox/programming/cpp/HidokuSatSolver/competitionenvironment/hidokus/hidoku-5-5-8.txt 0.02 
/home/julius/.dropbox_duke/Dropbox/programming/cpp/HidokuSatSolver/competitionenvironment/hidokus/hidoku-3-6-1.txt 0.0 
/home/julius/.dropbox_duke/Dropbox/programming/cpp/HidokuSatSolver/competitionenvironment/hidokus/hidoku-11-2s-1.txt 0.34 
/home/julius/.dropbox_duke/Dropbox/programming/cpp/HidokuSatSolver/competitionenvironment/hidokus/hidoku-14-4s-1.txt 1.49 
/home/julius/.dropbox_duke/Dropbox/programming/cpp/HidokuSatSolver/competitionenvironment/hidokus/hidoku-9-4s-11.txt 0.22 
/home/julius/.dropbox_duke/Dropbox/programming/cpp/HidokuSatSolver/competitionenvironment/hidokus/hidoku-12-3s-1.txt 0.86 
/home/julius/.dropbox_duke/Dropbox/programming/cpp/HidokuSatSolver/competitionenvironment/hidokus/hidoku-10-2s-5.txt 0.91 
/home/julius/.dropbox_duke/Dropbox/programming/cpp/HidokuSatSolver/competitionenvironment/hidokus/hidoku-8-4s-1.txt 0.45 
/home/julius/.dropbox_duke/Dropbox/programming/cpp/HidokuSatSolver/competitionenvironment/hidokus/hidoku-8-3s-8.txt 0.31 
/home/julius/.dropbox_duke/Dropbox/programming/cpp/HidokuSatSolver/competitionenvironment/hidokus/hidoku-10-3s-3.txt 0.3 
/home/julius/.dropbox_duke/Dropbox/programming/cpp/HidokuSatSolver/competitionenvironment/hidokus/hidoku-4-6-7.txt 0.01 
/home/julius/.dropbox_duke/Dropbox/programming/cpp/HidokuSatSolver/competitionenvironment/hidokus/hidoku-5-6-4.txt 0.01 
/home/julius/.dropbox_duke/Dropbox/programming/cpp/HidokuSatSolver/competitionenvironment/hidokus/hidoku-9-1s-1.txt 0.24 
/home/julius/.dropbox_duke/Dropbox/programming/cpp/HidokuSatSolver/competitionenvironment/hidokus/hidoku-9-4s-5.txt 0.61 
/home/julius/.dropbox_duke/Dropbox/programming/cpp/HidokuSatSolver/competitionenvironment/hidokus/hidoku-11-4s-4.txt 1.88 
/home/julius/.dropbox_duke/Dropbox/programming/cpp/HidokuSatSolver/competitionenvironment/hidokus/hidoku-10-3s-4.txt 0.48 
/home/julius/.dropbox_duke/Dropbox/programming/cpp/HidokuSatSolver/competitionenvironment/hidokus/hidoku-4-6-4.txt 0.0 
/home/julius/.dropbox_duke/Dropbox/programming/cpp/HidokuSatSolver/competitionenvironment/hidokus/hidoku-7-6-6.txt 0.04 
/home/julius/.dropbox_duke/Dropbox/programming/cpp/HidokuSatSolver/competitionenvironment/hidokus/hidoku-13-4s-1.txt 0.43 
/home/julius/.dropbox_duke/Dropbox/programming/cpp/HidokuSatSolver/competitionenvironment/hidokus/hidoku-3-6-5.txt 0.0 
/home/julius/.dropbox_duke/Dropbox/programming/cpp/HidokuSatSolver/competitionenvironment/hidokus/hidoku-10-2s-4.txt 0.63 
/home/julius/.dropbox_duke/Dropbox/programming/cpp/HidokuSatSolver/competitionenvironment/hidokus/hidoku-9-3s-9.txt 0.3 
/home/julius/.dropbox_duke/Dropbox/programming/cpp/HidokuSatSolver/competitionenvironment/hidokus/hidoku-8-4s-10.txt 1.01 
/home/julius/.dropbox_duke/Dropbox/programming/cpp/HidokuSatSolver/competitionenvironment/hidokus/hidoku-8-1s-6.txt 0.31 
/home/julius/.dropbox_duke/Dropbox/programming/cpp/HidokuSatSolver/competitionenvironment/hidokus/hidoku-9-3s-7.txt 0.28 
/home/julius/.dropbox_duke/Dropbox/programming/cpp/HidokuSatSolver/competitionenvironment/hidokus/hidoku-8-4s-9.txt 0.57 
/home/julius/.dropbox_duke/Dropbox/programming/cpp/HidokuSatSolver/competitionenvironment/hidokus/hidoku-3-6-2.txt 0.0 
/home/julius/.dropbox_duke/Dropbox/programming/cpp/HidokuSatSolver/competitionenvironment/hidokus/hidoku-9-2s-2.txt 0.48 
/home/julius/.dropbox_duke/Dropbox/programming/cpp/HidokuSatSolver/competitionenvironment/hidokus/hidoku-9-4s-2.txt 0.59 
/home/julius/.dropbox_duke/Dropbox/programming/cpp/HidokuSatSolver/competitionenvironment/hidokus/hidoku-8-4s-3.txt 0.35 
/home/julius/.dropbox_duke/Dropbox/programming/cpp/HidokuSatSolver/competitionenvironment/hidokus/hidoku-7-6-1.txt 0.06 
/home/julius/.dropbox_duke/Dropbox/programming/cpp/HidokuSatSolver/competitionenvironment/hidokus/hidoku-7-6-8.txt 0.03 
/home/julius/.dropbox_duke/Dropbox/programming/cpp/HidokuSatSolver/competitionenvironment/hidokus/hidoku-5-6-8.txt 0.03 
/home/julius/.dropbox_duke/Dropbox/programming/cpp/HidokuSatSolver/competitionenvironment/hidokus/hidoku-8-4s-7.txt 0.47 
/home/julius/.dropbox_duke/Dropbox/programming/cpp/HidokuSatSolver/competitionenvironment/hidokus/hidoku-10-3s-2.txt 0.78 
/home/julius/.dropbox_duke/Dropbox/programming/cpp/HidokuSatSolver/competitionenvironment/hidokus/hidoku-6-6-5.txt 0.03 
/home/julius/.dropbox_duke/Dropbox/programming/cpp/HidokuSatSolver/competitionenvironment/hidokus/hidoku-6-6-1.txt 0.04 
/home/julius/.dropbox_duke/Dropbox/programming/cpp/HidokuSatSolver/competitionenvironment/hidokus/hidoku-6-6-4.txt 0.02 
/home/julius/.dropbox_duke/Dropbox/programming/cpp/HidokuSatSolver/competitionenvironment/hidokus/hidoku-10-4s-2.txt 0.41 
/home/julius/.dropbox_duke/Dropbox/programming/cpp/HidokuSatSolver/competitionenvironment/hidokus/hidoku-4-6-5.txt 0.02 
/home/julius/.dropbox_duke/Dropbox/programming/cpp/HidokuSatSolver/competitionenvironment/hidokus/hidoku-9-2s-5.txt 0.07 
/home/julius/.dropbox_duke/Dropbox/programming/cpp/HidokuSatSolver/competitionenvironment/hidokus/hidoku-9-1s-2.txt 0.54 
/home/julius/.dropbox_duke/Dropbox/programming/cpp/HidokuSatSolver/competitionenvironment/hidokus/hidoku-10-4s-5.txt 1.09 
/home/julius/.dropbox_duke/Dropbox/programming/cpp/HidokuSatSolver/competitionenvironment/hidokus/unsat/unsat-hidoku-10-7.txt 1.95 
/home/julius/.dropbox_duke/Dropbox/programming/cpp/HidokuSatSolver/competitionenvironment/hidokus/unsat/unsat-hidoku-9-3.txt 0.98 
/home/julius/.dropbox_duke/Dropbox/programming/cpp/HidokuSatSolver/competitionenvironment/hidokus/unsat/unsat-hidoku-8-7.txt 0.41 
